id,location,latitude,longitude
0,Jasna Góra,50°48′45″N,19°05′50″E
1,Bazylika jasnogórska,50°48′45″N,19°05′50″E
2,Jasna Góra (Obniżenie Górnej Warty),50°48′45″N,19°05′50″E
3,Kaplica Matki Boskiej Częstochowskiej na Jasnej Górze,50°48′44″N,19°05′51″E
4,Oblężenie Jasnej Góry,"50°48′45,3600″N","19°05′50,6400″E"
5,Parki podjasnogórskie,50°48′45″N,19°06′10″E
6,Stare Miasto w Warszawie,"52,2498°N","21,0122°E"
7,Bazylika archikatedralna św. Jana Chrzciciela w Warszawie,52°14′55″N,21°00′49″E
8,Muzeum Cechu Rzemiosł Skórzanych,52°14′58″N,21°00′38″E
9,Centrum Interpretacji Zabytku,"52°15′00,5″N","21°00′47,5″E"
10,Eksplozja „czołgu pułapki” na ulicy Kilińskiego w Warszawie,"52°14′58,11″N","21°00′32,00″E"
11,Góra Gnojna,52°15′00″N,21°00′50″E
12,Kamienica Pod Chrystusem w Warszawie,"52°14′58,7″N","21°00′38,6″E"
13,Kamienica Pod Okrętem w Warszawie,"52°14′56,62″N","21°00′44,73″E"
14,Kamienica Prażmowskich w Warszawie,"52°14′48,67″N","21°00′47,37″E"
15,Kamienica przy ul. Piwnej 6 w Warszawie,"52°14′53,83″N","21°00′45,93″E"
16,Kościół św. Marcina w Warszawie,52°14′53″N,21°00′44″E
17,Muzeum Farmacji im. mgr Antoniny Leśniewskiej,"52°14′56,50″N","21°00′41,19″E"
18,Pałac Dziekana w Warszawie,"52°14′55,39″N","21°00′50,30″E"
19,Parafia Archikatedralna św. Jana Chrzciciela w Warszawie,52°14′55″N,21°00′49″E
20,Pomnik Jana Kilińskiego w Warszawie,"52°14′53,6″N","21°00′39,1″E"
21,Rzeźba Oświęcim II w Warszawie,"52°14′56,06″N","21°00′36,36″E"
22,Szpital św. Ducha w Warszawie (ul. Elektoralna 12),"52°14′26,2320″N","20°59′53,4840″E"
23,Ulica Brzozowa w Warszawie,"52°15′01,5″N","21°00′46,6″E"
24,Ulica Bugaj w Warszawie,"52°14′59,0″N","21°00′55,0″E"
25,Ulica Celna w Warszawie,"52°14′59,5″N","21°00′48,0″E"
26,Ulica Dawna w Warszawie,"52°14′58,2″N","21°00′51,1″E"
27,Ulica Dziekania w Warszawie,"52°14′56,2″N","21°00′50,9″E"
28,Ulica Grodzka w Warszawie,"52°14′51,1″N","21°01′00,3″E"
29,Ulica Jezuicka w Warszawie,"52°14′57,9″N","21°00′48,1″E"
30,Ulica Kamienne Schodki w Warszawie,"52°15′01,7″N","21°00′44,4″E"
31,Ulica Kanonia w Warszawie,"52°14′57,1200″N","21°00′50,4000″E"
32,Ulica Krzywe Koło w Warszawie,"52°15′02,1″N","21°00′42,2″E"
33,Ulica Nowomiejska w Warszawie,"52°15′00,4″N","21°00′39,7″E"
34,Ulica Piekarska w Warszawie,"52°14′55,3″N","21°00′41,2″E"
35,Ulica Piwna w Warszawie,"52°14′55,6″N","21°00′43,4″E"
36,Ulica Podwale w Warszawie,"52°14′53,6″N","21°00′37,0″E"
37,Ulica Rycerska w Warszawie,"52°14′55,8″N","21°00′37,2″E"
38,Ulica Szeroki Dunaj w Warszawie,"52°14′59,0″N","21°00′37,0″E"
39,Ulica Świętojańska w Warszawie,"52°14′54,6″N","21°00′47,8″E"
40,Ulica Wybrzeże Gdańskie w Warszawie,"52°15′14,5″N","21°00′45,1″E"
41,Ulica Zapiecek w Warszawie,"52°14′56,5″N","21°00′43,2″E"
42,Kościół Matki Bożej Łaskawej w Warszawie,52°14′56″N,21°00′47″E
43,Ulica Wąski Dunaj w Warszawie,"52°14′57,7″N","21°00′37,1″E"
44,Arkadia (powiat łowicki),52°04′53″N,20°00′28″E
45,Bazylika prymasowska Wniebowzięcia Najświętszej Maryi Panny w Gnieźnie,52°32′12″N,17°35′33″E
46,Bazylika św. Jadwigi w Legnickim Polu,51°08′45″N,16°14′34″E
47,Zespół Kościoła i Klasztoru Bernardynów w Leżajsku,50°16′14″N,22°24′31″E
48,Bazylika św. Jakuba i św. Agnieszki w Nysie,50°28′29″N,17°20′04″E
49,Bazylika archikatedralna Wniebowzięcia Najświętszej Maryi Panny i św. Andrzeja we Fromborku,"54°21′25,24″N","19°40′55,64″E"
50,Biała Fabryka Geyera,"51°44′44,041″N","19°27′43,776″E"
51,Biskupin (stanowisko archeologiczne),52°47′18″N,17°44′40″E
52,Cmentarz muzułmański w Bohonikach,53°23′50″N,23°35′44″E
53,Meczet w Bohonikach,53°23′25″N,23°35′30″E
54,Zamek Bolczów,50°51′40″N,15°54′43″E
55,Brama Opatowska,"50°40′53,5″N","21°44′58,0″E"
56,Chełmno,53°20′57″N,18°25′22″E
57,Zamek Chojnik,50°50′01″N,15°38′37″E
58,Stary Cmentarz w Łodzi,51°46′38″N,19°26′06″E
59,Collegium Gostomianum,"50°40′38,050″N","21°45′05,486″E"
60,Dom Długosza w Sandomierzu,"50°40′36,6600″N","21°45′01,8360″E"
61,Dworek Ludwika Geyera,"51°44′35,89″N","19°27′44,32″E"
62,Dwór Czarne w Jeleniej Górze,50°52′47″N,15°44′48″E
63,Dwór w Koszutach,"52°13′58,7166″N","17°11′52,3644″E"
64,Dwór w Mniszkowie,50°51′40″N,15°56′34″E
65,Dwór w Radomierzu,50°53′52″N,15°53′20″E
66,Dwór w Staniszowie,50°50′59″N,15°43′34″E
67,Fabryka Izraela Poznańskiego w Łodzi,51°46′46″N,19°26′51″E
68,Radiostacja gliwicka,"50°18′48,20″N","18°41′20,27″E"
69,Bazylika na Świętej Górze,51°53′08″N,17°02′08″E
70,Gmach Sejmu Śląskiego,"50°15′12,09″N","19°01′27,78″E"
71,Opactwo Cystersów w Gościkowie-Paradyżu,52°20′13″N,15°32′41″E
72,Sanktuarium św. Anny na Górze św. Anny,50°27′22″N,18°10′09″E
73,Góra Świętej Anny,50°27′33″N,18°10′06″E
74,Góra Świętej Anny (województwo opolskie),50°27′22″N,18°10′03″E
75,Hala Stulecia we Wrocławiu,51°06′26″N,17°04′37″E
76,Iglica (Wrocław),"51°06′27,18″N","17°04′30,70″E"
77,Dwór w Janowicach Wielkich,50°52′26″N,15°55′12″E
78,Jasna Góra,50°48′45″N,19°05′50″E
79,Kościół Pokoju w Jaworze,"51,053960°N","16,189010°E"
80,Kalwaria na Górze Świętej Anny,"50°27′14,547″N","18°10′08,456″E"
81,Karczma wawerska,"52°13′45,8871″N","21°08′21,1707″E"
82,Pałac Dębowy w Karpnikach,50°51′12″N,15°51′08″E
83,Archikatedra Chrystusa Króla w Katowicach,"50°15′05,72″N","19°01′08,85″E"
84,Kazimierz Dolny,"51°19′19,45″N","21°56′44,69″E"
85,Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny w Kielcach,50°52′08″N,20°37′44″E
86,Pałac Biskupów Krakowskich w Kielcach,50°52′09″N,20°37′39″E
87,Klępsk,"52°07′01,07″N","15°43′08,42″E"
88,Opactwo Cystersów w Kołbaczu,53°18′05″N,14°48′49″E
89,Konkatedra św. Jana Chrzciciela w Kamieniu Pomorskim,53°58′23″N,14°46′20″E
90,Kopalnia soli Bochnia,"49°58′08,9″N","20°25′02,1″E"
91,Kopiec Kościuszki w Krakowie,"50°03′17,72″N","19°53′36,09″E"
92,Pałac w Ciszycy,50°48′19″N,15°48′48″E
93,Pałac w Kozłówce,"51°27′34,59″N","22°29′21,92″E"
94,Kościół Wszystkich Świętych w Kórniku,52°14′49″N,17°05′27″E
95,Zamek w Kórniku,52°14′38″N,17°05′26″E
96,Ogród Krasińskich w Warszawie,52°14′52″N,21°00′07″E
97,Pocysterskie Opactwo w Krzeszowie,50°44′04″N,16°04′20″E
98,Krzyżtopór,50°42′50″N,21°18′38″E
99,Park Na Książęcem w Warszawie,52°13′53″N,21°01′39″E
100,Księży Młyn,51°45′21″N,19°28′55″E
101,Konkatedra św. Jana Ewangelisty w Kwidzynie,53°44′09″N,18°55′17″E
102,Zamek w Kwidzynie,"53°44′10,06″N","18°55′16,33″E"
103,Opactwo Cystersów w Lądzie,52°12′22″N,17°53′41″E
104,Zamek biskupów warmińskich w Lidzbarku Warmińskim,"54°07′32,74″N","20°34′58,28″E"
105,Kościół Narodzenia Najświętszej Marii Panny w Lubiniu,"51°57′58,0752″N","16°54′02,8080″E"
106,Dwór „Dom wdowy” w Łomnicy,"50°52′33,57″N","15°48′34,71″E"
107,Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny i św. Mikołaja w Łowiczu,52°06′28″N,19°56′36″E
108,Łysa Góra (Góry Świętokrzyskie),50°51′37″N,21°02′49″E
109,Mariensztat,"52°14′47,05″N","21°01′00,93″E"
110,Meczet w Kruszynianach,53°10′35″N,23°48′47″E
111,Muzeum Papiernictwa w Dusznikach-Zdroju,"50°24′16,190″N","16°23′44,686″E"
112,Nikiszowiec,50°14′39″N,19°04′50″E
113,Nowe Miasto (Toruń),"53°00′41,112″N","18°36′41,903″E"
114,Nowe Miasto (Warszawa),"52°15′10,0800″N","21°00′29,1600″E"
115,Nowy cmentarz żydowski w Łodzi,51°47′40″N,19°29′09″E
116,Nowy Dwór w Kowarach,50°48′11″N,15°50′05″E
117,Opactwo Cystersów w Oliwie,54°24′39″N,18°33′30″E
118,Osiedle Stare Miasto (Zamość),"50,7206°N","23,2586°E"
119,Ostrów Lednicki,52°31′38″N,17°22′40″E
120,Most wiszący w Ozimku,"50°40′35,00″N","18°12′44,05″E"
121,Paczków,50°27′59″N,17°00′41″E
122,Pałac Izraela Poznańskiego,"51°46′44,80″N","19°27′02,96″E"
123,Pałac na Wodzie w Staniszowie,"50°51′40,80″N","15°43′56,35″E"
124,Pałac Paulinum w Jeleniej Górze,50°53′30″N,15°45′39″E
125,Pałac Schaffgotschów w Cieplicach,50°51′54″N,15°40′55″E
126,Pałac w Bukowcu,50°49′28″N,15°48′54″E
127,Pałac w Dąbrowicy,50°53′47″N,15°48′26″E
128,Pałac w Kowarach,50°47′27″N,15°50′19″E
129,Pałac w Łomnicy,50°52′36″N,15°48′32″E
130,Pałac w Miłkowie,50°48′37″N,15°45′40″E
131,Pałac w Mysłakowicach,50°50′41″N,15°46′46″E
132,Pałac w Nieborowie,"52°03′59,6″N","20°04′12,7″E"
133,Pałac w Rogalinie,"52°14′04,49″N","16°55′46,88″E"
134,Pałac w Sobieszowie,50°50′47″N,15°38′21″E
135,Pałac w Staniszowie,50°50′39″N,15°44′30″E
136,Pałac w Wojanowie,50°52′32″N,15°48′50″E
137,Pałac w Wojanowie-Bobrowie,50°52′12″N,15°49′48″E
138,Park Mużakowski,"51,547559°N","14,723229°E"
139,Park Zdrojowy w Ciechocinku,"52°53′10,17″N","18°46′57,78″E"
140,Park Źródliska w Łodzi,"51°45′32,48″N","19°28′42,03″E"
141,Parki podjasnogórskie,50°48′45″N,19°06′10″E
142,Pawilon Czterech Kopuł,51°06′30″N,17°04′34″E
143,Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny w Pelplinie,"53°55′39,63″N","18°41′40,75″E"
144,Pergola we Wrocławiu,51°06′34″N,17°04′42″E
145,Pałac w Pakoszowie,"50°51′23,89″N","15°37′37,31″E"
146,Plac Wolności w Łodzi,"51°46′36,5″N","19°27′16,9″E"
147,Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny w Płocku,"52°32′30,6″N","19°41′23,5″E"
148,Zamek książąt mazowieckich w Płocku,"52°32′29,10″N","19°41′17,97″E"
149,Pomnik i amfiteatr na Górze Świętej Anny,50°27′19″N,18°09′36″E
150,Cmentarz Powązkowski w Warszawie,52°15′07″N,20°58′22″E
151,Racławice (powiat miechowski),50°19′47″N,20°13′56″E
152,Cerkiew św. Paraskewy w Radrużu,50°10′35″N,23°24′03″E
153,Ratusz w Sandomierzu,"50°40′45,9″N","21°44′57,7″E"
154,Rezerwat przyrody Morysin,"52°10′37,96″N","21°05′48,90″E"
155,Zamek w Rybnicy,"50°54′42,70″N","15°37′09,73″E"
156,Zamek w Rydzynie,"51°47′14,5278″N","16°40′15,7506″E"
157,Bazylika katedralna Narodzenia Najświętszej Maryi Panny w Sandomierzu,"50°40′36,5″N","21°44′57,0″E"
158,Kościół Nawrócenia św. Pawła Apostoła w Sandomierzu,"50°40′42,5″N","21°44′22,6″E"
159,Kościół św. Jakuba w Sandomierzu,50°40′41″N,21°44′26″E
160,Kościół św. Józefa w Sandomierzu,50°40′55″N,21°44′47″E
161,Kościół św. Michała Archanioła w Sandomierzu,"50°40′58,3″N","21°44′57,3″E"
162,Kościół Świętego Ducha w Sandomierzu,"50°40′52,3″N","21°44′57,9″E"
163,Sanktuarium pasyjno-maryjne w Kalwarii Zebrzydowskiej,"49°51′37,1″N","19°40′14,6″E"
164,Ogród Saski w Warszawie,52°14′25″N,21°00′30″E
165,Pałac Karola Scheiblera,51°45′34″N,19°28′29″E
166,Wieża książęca w Siedlęcinie,50°56′06″N,15°41′08″E
167,Skansen Archeologiczny „Karpacka Troja” w Trzcinicy,"49°43′55,398″N","21°25′59,441″E"
168,Skansen Łódzkiej Architektury Drewnianej,"51°44′44,8″N","19°27′50,3″E"
169,Twierdza Srebrnogórska,"50°34′29,8″N","16°38′34,3″E"
170,Stare Miasto (Płock),52°32′41″N,19°41′11″E
171,Stare Miasto (Toruń),"53°00′41,112″N","18°36′41,903″E"
172,Stare Miasto w Krakowie,50°03′42″N,19°56′14″E
173,Stare Miasto w Lublinie,"51°14′51,8989″N","22°34′02,5291″E"
174,Stare Miasto w Warszawie,"52,2498°N","21,0122°E"
175,Kolegiata Najświętszej Marii Panny Królowej Świata w Stargardzie,53°20′12″N,15°02′48″E
176,Bazylika Świętych Apostołów Piotra i Pawła w Strzegomiu,"50°57′33,5″N","16°20′59,1″E"
177,Kościół Świętej Trójcy i Najświętszej Marii Panny w Strzelnie,52°37′47″N,18°10′44″E
178,Rotunda św. Prokopa w Strzelnie,52°37′49″N,18°10′45″E
179,Opactwo Cystersów w Sulejowie,51°21′53″N,19°52′43″E
180,Kościół św. Michała Archanioła w Szalowej,"49°40′56,00″N","21°01′17,75″E"
181,Sztolnia Czarnego Pstrąga,"50°25′48,92″N","18°48′02,05″E"
182,Park Marszałka Edwarda Rydza-Śmigłego w Warszawie,52°13′40″N,21°02′03″E
183,Śródmieście (Gdynia),"54°31′23,58″N","18°32′17,62″E"
184,Katedra św. Stanisława i św. Wacława w Świdnicy,50°50′28″N,16°29′31″E
185,Kościół Pokoju w Świdnicy,"50°50′46,5″N","16°29′29,9″E"
186,Bazylika Nawiedzenia Najświętszej Maryi Panny w Świętej Lipce,"54°01′32,44″N","21°12′52,48″E"
187,Bazylika na Świętym Krzyżu,50°52′09″N,21°03′09″E
188,Tężnie w Ciechocinku,52°53′10″N,18°46′56″E
189,Bazylika i sanktuarium św. Jadwigi w Trzebnicy,51°18′33″N,17°04′00″E
190,Twierdza Wisłoujście,"54°23′41,150″N","18°40′51,082″E"
191,Opactwo Benedyktynów w Tyńcu,50°01′10″N,19°48′07″E
192,Park Ujazdowski w Warszawie,52°13′19″N,21°01′32″E
193,Ulica Piotrkowska w Łodzi,"51°46′34,0″N","19°27′17,0″E"
194,Ulica Stanisława Moniuszki w Łodzi,"51°46′05,5200″N","19°27′32,0400″E"
195,Opactwo Cystersów w Wąchocku,51°04′32″N,21°00′56″E
196,Westerplatte,"54°24′30,658″N","18°40′31,386″E"
197,Kopalnia soli Wieliczka,"49°59′00,5″N","20°03′05,9″E"
198,Pałac w Wilanowie,52°09′54″N,21°05′22″E
199,Ogród w Wilanowie,52°09′58″N,21°05′29″E
200,Zabytkowa Kopalnia Srebra,"50°25′33,2400″N","18°50′59,2800″E"
201,Zamek Królewski na Wawelu,"50°03′16,3080″N","19°56′10,0320″E"
202,Zamek Sokolec,50°51′55″N,15°52′05″E
203,Zamek w Karpnikach,"50°50′47,5″N","15°50′59,8″E"
204,Zamek w Krasiczynie,49°46′34″N,22°38′57″E
205,Zamek w Łańcucie,"50°04′04,979″N","22°14′00,816″E"
206,Zamek w Malborku,54°02′23″N,19°01′40″E
207,Zamek w Marczycach,"50°50′07,48″N","15°43′24,39″E"
208,Zespół Stacji Filtrów w Warszawie,52°13′18″N,20°59′43″E
209,Zespół staromiejski Torunia,"53°00′41,112″N","18°36′41,903″E"
210,Kościół Wniebowzięcia Najświętszej Maryi Panny w Żaganiu,51°36′57″N,15°19′08″E
211,Żyrardów,52°03′15″N,20°26′40″E
